"","Region","FY","All","Security","Economic","SecShare","EconShare","CAGR","CAGRdef","eCAGRdef","sCAGRdef"
"42","Western Hemisphere ","2011",1786180.71593534,606577.174749808,1179603.54118553,0.083037848,0.077742783,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"43","Africa ","2010",6929480.13732222,299378.126532614,6630102.0107896,0.03975278,0.450663278,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"44","East Asia and Pacific ","2010",761161.353604708,118481.608631682,642679.744973026,0.015732523,0.04368442,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"45","Europe and Eurasia ","2010",849936.243256498,185777.341834232,664158.901422266,0.024668355,0.045144408,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"46","Near East ","2010",6372840.60814125,4706499.26434527,1666341.34379598,0.62495023,0.113265053,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"47","South and Central Asia ","2010",5021768.51397744,1152746.44433546,3869022.06964198,0.15306688,0.262986326,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"48","Western Hemisphere ","2010",2307687.10152035,1068115.74301128,1239571.35850907,0.141829233,0.084256515,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"49","Africa ","2009",6645076.37017071,185626.435060397,6459449.93511031,0.030761458,0.569160888,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"50","East Asia and Pacific ","2009",663672.756314266,90849.5557552161,572823.20055905,0.015055317,0.050473115,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"51","Europe and Eurasia ","2009",778358.790056903,138041.329739443,640317.46031746,0.022875796,0.056420231,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"52","Near East ","2009",4898640.3114705,4126878.30687831,771762.004592193,0.683893934,0.068002191,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"53","South and Central Asia ","2009",2393875.41179994,648316.861335729,1745558.55046421,0.107437132,0.153806232,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"54","Western Hemisphere ","2009",2003835.47968454,844671.059199361,1159164.42048518,0.139976363,0.102137343,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"55","Africa ","2008",6233364.39234546,200292.555856127,6033071.83648933,0.035162352,0.539440093,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"56","East Asia and Pacific ","2008",674530.608155495,86333.0327622483,588197.575393247,0.015156192,0.052593001,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"57","Europe and Eurasia ","2008",793942.490732392,137493.237150586,656449.253581805,0.02413762,0.058695646,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"58","Near East ","2008",5309338.74361286,4115377.21671175,1193961.52690111,0.722474887,0.10675668,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"59","South and Central Asia ","2008",2299830.67828875,659296.663660956,1640534.01462779,0.1157428,0.146686438,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"60","Western Hemisphere ","2008",1569166.41619076,497429.115319106,1071737.30087166,0.087326149,0.095828143,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
