Region,FY,All,Security,Economic,SecShare,EconShare
Africa ,2017,7103969,471673,6632296,0.06377004,0.508644032
East Asia and Pacific ,2017,873000,178555,694445,0.02414058,0.053258375
Europe and Eurasia ,2017,787407,229225,558182,0.030991148,0.042808093
Near East ,2017,7334550,5322874,2011676,0.719650882,0.154279452
South and Central Asia ,2017,2596762,595300,2001462,0.080484372,0.15349612
Western Hemisphere ,2017,1739949,598840,1141109,0.080962979,0.087513929
Africa ,2016,6880953,431143,6449810,0.057280045,0.484076164
East Asia and Pacific ,2016,845558,158054,687504,0.020998463,0.051599086
Europe and Eurasia ,2016,953250,210430,742820,0.027956942,0.055750705
Near East ,2016,7324070,5508320,1815750,0.731814769,0.136277083
South and Central Asia ,2016,2856931,668345,2188586,0.088793814,0.164259461
Western Hemisphere ,2016,1990127,550640,1439487,0.073155968,0.1080375
Africa ,2015,8265415,553307,7712108,0.073530645,0.589789895
East Asia and Pacific ,2015,780187,211838,568349,0.028151794,0.043464964
Europe and Eurasia ,2015,755772,247372,508400,0.032874015,0.038880314
Near East ,2015,6726788,5288490,1438298,0.702803472,0.10999504
South and Central Asia ,2015,2487873,665799,1822074,0.088480048,0.13934463
Western Hemisphere ,2015,1584840,558043,1026797,0.074160026,0.078525157
Africa ,2014,7511067,431645,7079422,0.058332991,0.564072965
East Asia and Pacific ,2014,779537,168951,610586,0.022832228,0.048650166
Europe and Eurasia ,2014,526916,181334,345582,0.024505681,0.027535223
Near East ,2014,7039925,5375975,1663950,0.72651531,0.132579921
South and Central Asia ,2014,2615159,687333,1927826,0.092886955,0.153604987
Western Hemisphere ,2014,1477611,554434,923177,0.074926835,0.073556738
Africa ,2013,7826150,498099,7328051,0.063380607,0.517751958
East Asia and Pacific ,2013,741127,127171,613956,0.016181874,0.043378099
Europe and Eurasia ,2013,600182,205375,394807,0.026132942,0.02789447
Near East ,2013,7178270,5343599,1834671,0.679946252,0.129625804
South and Central Asia ,2013,3982250,1046559,2935691,0.133169399,0.207416646
Western Hemisphere ,2013,1684470,638052,1046418,0.081188926,0.073933024
Africa ,2012,7620384,336393,7283991,0.050026389,0.626294012
East Asia and Pacific ,2012,714950,116277,598673,0.017292032,0.051475258
Europe and Eurasia ,2012,709274,161214,548060,0.023974798,0.047123438
Near East ,2012,6570786,5054788,1515998,0.751718354,0.130348935
South and Central Asia ,2012,915697,356357,559340,0.052995318,0.048093318
Western Hemisphere ,2012,1823526,699282,1124244,0.103993108,0.09666504
Africa ,2011,7915306,298826,7616480,0.03936491,0.483035647
East Asia and Pacific ,2011,742869,94754,648115,0.012482122,0.041103324
Europe and Eurasia ,2011,818005,181143,636862,0.023862308,0.040389661
Near East ,2011,7013300,5136026,1877274,0.676578349,0.119056344
South and Central Asia ,2011,5013464,1250073,3763371,0.164674464,0.238672241
Western Hemisphere ,2011,1856199,630355,1225844,0.083037848,0.077742783
Africa ,2010,7064605,305216,6759389,0.03975278,0.450663278
East Asia and Pacific ,2010,776004,120792,655212,0.015732523,0.04368442
Europe and Eurasia ,2010,866510,189400,677110,0.024668355,0.045144408
Near East ,2010,6497111,4798276,1698835,0.62495023,0.113265053
South and Central Asia ,2010,5119693,1175225,3944468,0.15306688,0.262986326
Western Hemisphere ,2010,2352687,1088944,1263743,0.141829233,0.084256515
Africa ,2009,6656373,185942,6470431,0.030761458,0.569160888
East Asia and Pacific ,2009,664801,91004,573797,0.015055317,0.050473115
Europe and Eurasia ,2009,779682,138276,641406,0.022875796,0.056420231
Near East ,2009,4906968,4133894,773074,0.683893934,0.068002191
South and Central Asia ,2009,2397945,649419,1748526,0.107437132,0.153806232
Western Hemisphere ,2009,2007242,846107,1161135,0.139976363,0.102137343
Africa ,2008,6221521,199912,6021609,0.035162352,0.539440093
East Asia and Pacific ,2008,673249,86169,587080,0.015156192,0.052593001
Europe and Eurasia ,2008,792434,137232,655202,0.02413762,0.058695646
Near East ,2008,5299251,4107558,1191693,0.722474887,0.10675668
South and Central Asia ,2008,2295461,658044,1637417,0.1157428,0.146686438
Western Hemisphere ,2008,1566185,496484,1069701,0.087326149,0.095828143
